grapes,region,country,winery,rating
[Chardonnay],Central Valley,Chile,Santa Rita,3.3
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Rawson's Retreat,3.4
"[Gouveio,Rabigato,Malvasia Fina]",Porto,Portugal,Kopke,3.6
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Casalforte,3.6
[Glera (Prosecco)],Prosecco di Treviso,Italien,Soligo,3.5
[Bonarda],Mendoza,Argentina,Colonia Las Liebres,3.5
[Cabernet Sauvignon],Western Cape,Sydafrika,Spier,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Cusumano,3.6
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.6
"[Grenache,Tempranillo]",Costers del Segre,Spanien,Raimat,3.4
[Verdejo],Rueda,Spanien,Protos,3.7
[Touriga Nacional],Dão,Portugal,Casa de Santar,3.8
[Shiraz/Syrah],McLaren Vale,Australien,d'Arenberg,3.4
[Malbec],Tupungato,Argentina,Domaine Bousquet,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Feudo Arancio,3.6
[Chenin Blanc],Robertson,Sydafrika,Arabella,3.6
[Montepulciano],Montepulciano d'Abruzzo,Italien,Natale Verga,3.4
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,JP. Chenet,3.4
[Malbec],San Juan,Argentina,Bodega Finca Las Moras,3.7
"[Xarel-lo,Parellada,Trepat,Viura]",Rías Baixas,Spanien,Bodegas Martín Códax,3.9
"[Grenache,Tempranillo]",Catalunya,Spanien,Familia Torres,3.5
"[Baga,Castelao]",Alentejano,Portugal,Esporão,3.6
[Shiraz/Syrah],Western Cape,Sydafrika,Two Oceans,3.3
"[Baga,Castelao]",Alentejano,Portugal,Loios,3.4
[Pinotage],Stellenbosch,Sydafrika,Ken Forrester,3.5
[Sauvignon Blanc],Robertson,Sydafrika,Arabella,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Arrogant Frog,3.5
[Cabernet Sauvignon],Robertson,Sydafrika,Arabella,3.6
[Chardonnay],Central Valley,Chile,Cono Sur,3.5
[Viognier],Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.8
"[Malvasia,Fiano,Catarratto Bianco]",Val di Neto,Italien,Librandi,3.9
[Primitivo],Puglia,Italien,Farnese,3.6
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Rocca delle Macìe,3.5
"[Grenache Blanc,Bourboulenc]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.9
[Merlot],San Juan,Argentina,Bodega Finca Las Moras,3.6
[Malbec],Mendoza,Argentina,The Beefsteak Club,3.7
"[Grenache,Tempranillo]",Somontano,Spanien,Viñas del Vero,3.4
[Pinotage],Western Cape,Sydafrika,Spier,3.5
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Les Jamelles,3.6
[Chenin Blanc],Western Cape,Sydafrika,Spier,3.6
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Piemonte,Italien,Dilé,3.8
